accessionNo,cik,companyNameLong,ticker,description,formType,type,filingUrl,filedAt,downloadFilename
0001104659-09-063680,1039828,"AMERICAN EQUITY INVESTMENT LIFE HOLDING CO (ANG-PA, ANG-PB) (CIK 0001039828)",ANG.PB,EX-10.30,10-Q,EX-10.30,https://www.sec.gov/Archives/edgar/data/1039828/000110465909063680/a09-30777_1ex10d30.htm,2009-11-09,2009-1039828-0001104659-09-063680-a09-30777_1ex10d30.htm
0001104659-09-063680,1039828,"AMERICAN EQUITY INVESTMENT LIFE HOLDING CO (ANG-PA, ANG-PB) (CIK 0001039828)",ANG.PB,EX-10.29,10-Q,EX-10.29,https://www.sec.gov/Archives/edgar/data/1039828/000110465909063680/a09-30777_1ex10d29.htm,2009-11-09,2009-1039828-0001104659-09-063680-a09-30777_1ex10d29.htm
0000950123-09-028874,21175,CNA FINANCIAL CORP (CNA) (CIK 0000021175),CNA,EX-10.3,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/21175/000095012309028874/c52427exv10w3.htm,2009-08-03,2009-21175-0000950123-09-028874-c52427exv10w3.htm
0001193125-09-111404,1400810,"Homeowners Choice, Inc. (HCI, HCIIP) (CIK 0001400810)",HCI,ADDENDUM NO. 1 TO EXCESS CATASTROPHE REINSURANCE CONTRACT,10-Q,EX-10.24,https://www.sec.gov/Archives/edgar/data/1400810/000119312509111404/dex1024.htm,2009-05-14,2009-1400810-0001193125-09-111404-dex1024.htm
0001193125-09-041694,1276520,GENWORTH FINANCIAL INC (GNW) (CIK 0001276520),GNW,EXHIBIT 10.11.1,10-K,EX-10.11.1,https://www.sec.gov/Archives/edgar/data/1276520/000119312509041694/dex10111.htm,2009-03-02,2009-1276520-0001193125-09-041694-dex10111.htm
0001193125-09-041694,1276520,GENWORTH FINANCIAL INC (GNW) (CIK 0001276520),GNW,EXHIBIT 10.12.1,10-K,EX-10.12.1,https://www.sec.gov/Archives/edgar/data/1276520/000119312509041694/dex10121.htm,2009-03-02,2009-1276520-0001193125-09-041694-dex10121.htm
0001047469-09-002726,1039828,"AMERICAN EQUITY INVESTMENT LIFE HOLDING CO (ANG-PA, ANG-PB) (CIK 0001039828)",ANG.PB,EX-10.20,10-K,EX-10.20,https://www.sec.gov/Archives/edgar/data/1039828/000104746909002726/a2190859zex-10_20.htm,2009-03-16,2009-1039828-0001047469-09-002726-a2190859zex-10_20.htm
0001193125-09-053758,874977,State Auto Financial CORP (CIK 0000874977),,FIRST AMENDMENT TO REINSURANCE POOLING AGREEMENT AMENDED AND RESTATED,10-K,EX-10.44,https://www.sec.gov/Archives/edgar/data/874977/000119312509053758/dex1044.htm,2009-03-13,2009-874977-0001193125-09-053758-dex1044.htm
0000950123-09-031919,1297568,"Specialty Underwriters Alliance, Inc. (CIK 0001297568)",,EX-10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1297568/000095012309031919/c52879exv10w1.htm,2009-08-07,2009-1297568-0000950123-09-031919-c52879exv10w1.htm
0001362310-09-002975,59558,"LINCOLN NATIONAL CORP (LNC, LNC-PD) (CIK 0000059558)",LNC,EXHIBIT 10.67,10-K,EX-10.67,https://www.sec.gov/Archives/edgar/data/59558/000136231009002975/c81656exv10w67.htm,2009-02-27,2009-59558-0001362310-09-002975-c81656exv10w67.htm
0001193125-09-048536,1018979,AMERISAFE INC (AMSF) (CIK 0001018979),AMSF,SECOND CASUALTY EXCESS OF LOSS REINSURANCE AGREEMENT BY HANNOVER REINSURANCE,10-K,EX-10.29,https://www.sec.gov/Archives/edgar/data/1018979/000119312509048536/dex1029.htm,2009-03-09,2009-1018979-0001193125-09-048536-dex1029.htm
0000950123-09-031919,1297568,"Specialty Underwriters Alliance, Inc. (CIK 0001297568)",,EX-10.2,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1297568/000095012309031919/c52879exv10w2.htm,2009-08-07,2009-1297568-0000950123-09-031919-c52879exv10w2.htm
0000950123-09-003741,1296445,"ORMAT TECHNOLOGIES, INC. (ORA) (CIK 0001296445)",ORA,EX-10.18.3: COMMON TERMS AGREEMENT,10-K,EX-10.18.3,https://www.sec.gov/Archives/edgar/data/1296445/000095012309003741/y01222exv10w18w3.htm,2009-03-02,2009-1296445-0000950123-09-003741-y01222exv10w18w3.htm
0000950123-09-031919,1297568,"Specialty Underwriters Alliance, Inc. (CIK 0001297568)",,EX-10.3,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/1297568/000095012309031919/c52879exv10w3.htm,2009-08-07,2009-1297568-0000950123-09-031919-c52879exv10w3.htm
0000783603-09-000035,783603,AMERICAN SAFETY INSURANCE HOLDINGS LTD (CIK 0000783603),,10.3 AMENDED AND RESTATED PROGRAM MGMT AGREEMENT BETWEEN ASIS AND ASRRG DATED 1,10-K,EX-10,https://www.sec.gov/Archives/edgar/data/783603/000078360309000035/asrrgamrepma.htm,2009-03-16,2009-783603-0000783603-09-000035-asrrgamrepma.htm
0000783603-09-000035,783603,AMERICAN SAFETY INSURANCE HOLDINGS LTD (CIK 0000783603),,10.5 AMENDED AND RESTATED PROGRAM MGMT AGREEMENT BETWEEN ASIS AND ASIC DATED 1/,10-K,EX-10,https://www.sec.gov/Archives/edgar/data/783603/000078360309000035/asicamrepma.htm,2009-03-16,2009-783603-0000783603-09-000035-asicamrepma.htm
0000783603-09-000035,783603,AMERICAN SAFETY INSURANCE HOLDINGS LTD (CIK 0000783603),,10.4 AMENDED AND RESTATED PROGRAM MGMT AGREEMENT BETWEEN ASIS AND ASCIC,10-K,EX-10,https://www.sec.gov/Archives/edgar/data/783603/000078360309000035/ascicamrepma.htm,2009-03-16,2009-783603-0000783603-09-000035-ascicamrepma.htm
0000950123-09-031919,1297568,"Specialty Underwriters Alliance, Inc. (CIK 0001297568)",,EX-10.9,10-Q,EX-10.9,https://www.sec.gov/Archives/edgar/data/1297568/000095012309031919/c52879exv10w9.htm,2009-08-07,2009-1297568-0000950123-09-031919-c52879exv10w9.htm
0000950123-09-028355,1044566,CNA SURETY CORP (CIK 0001044566),,EX-10.42,10-Q,EX-10.42,https://www.sec.gov/Archives/edgar/data/1044566/000095012309028355/c52576exv10w42.htm,2009-07-31,2009-1044566-0000950123-09-028355-c52576exv10w42.htm
0001171500-09-000022,1171500,PLATINUM UNDERWRITERS HOLDINGS LTD (CIK 0001171500),,,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1171500/000117150009000022/shareunitplan_sep09.htm,2009-11-09,2009-1171500-0001171500-09-000022-shareunitplan_sep09.htm
0001045829-09-000004,1045829,VANGUARD HEALTH SYSTEMS INC (CIK 0001045829),,,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1045829/000104582909000004/exhibit10_1.htm,2009-02-12,2009-1045829-0001045829-09-000004-exhibit10_1.htm
0000950123-09-066318,1294632,IASIS Healthcare LLC (CIK 0001294632),,EXHIBIT 10.11,10-K,EX-10.11,https://www.sec.gov/Archives/edgar/data/1294632/000095012309066318/c92860exv10w11.htm,2009-11-25,2009-1294632-0000950123-09-066318-c92860exv10w11.htm
0001193125-09-041694,1276520,GENWORTH FINANCIAL INC (GNW) (CIK 0001276520),GNW,EXHIBIT 10.14.1,10-K,EX-10.14.1,https://www.sec.gov/Archives/edgar/data/1276520/000119312509041694/dex10141.htm,2009-03-02,2009-1276520-0001193125-09-041694-dex10141.htm
0000893220-09-000521,800457,"DONEGAL GROUP INC (DGICA, DGICB) (CIK 0000800457)",DGICA,EX-10(DD),10-K,EX-10.DD,https://www.sec.gov/Archives/edgar/data/800457/000089322009000521/w73156exv10wdd.htm,2009-03-12,2009-800457-0000893220-09-000521-w73156exv10wdd.htm
0001193125-09-041694,1276520,GENWORTH FINANCIAL INC (GNW) (CIK 0001276520),GNW,EXHIBIT 10.15.1,10-K,EX-10.15.1,https://www.sec.gov/Archives/edgar/data/1276520/000119312509041694/dex10151.htm,2009-03-02,2009-1276520-0001193125-09-041694-dex10151.htm
0000836658-09-000003,836658,ING USA ANNUITY & LIFE INSURANCE CO (CIK 0000836658),,,10-K,EX-10,https://www.sec.gov/Archives/edgar/data/836658/000083665809000003/ingexhibit-10.htm,2009-03-31,2009-836658-0000836658-09-000003-ingexhibit-10.htm
0000837010-09-000003,837010,ING LIFE INSURANCE & ANNUITY CO (CIK 0000837010),,,10-K,EX-10,https://www.sec.gov/Archives/edgar/data/837010/000083701009000003/iliacexhibit-10.htm,2009-03-31,2009-837010-0000837010-09-000003-iliacexhibit-10.htm
0001362310-09-002975,59558,"LINCOLN NATIONAL CORP (LNC, LNC-PD) (CIK 0000059558)",LNC,EXHIBIT 10.68,10-K,EX-10.68,https://www.sec.gov/Archives/edgar/data/59558/000136231009002975/c81656exv10w68.htm,2009-02-27,2009-59558-0001362310-09-002975-c81656exv10w68.htm
0001193125-09-234165,1065201,AMERINST INSURANCE GROUP LTD (CIK 0001065201),,"PROFESSIONAL LIABILITY QUOTA SHARE AGREEMENT DATED SEPTEMBER 25, 2009",10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1065201/000119312509234165/dex102.htm,2009-11-13,2009-1065201-0001193125-09-234165-dex102.htm
0000950123-09-028874,21175,CNA FINANCIAL CORP (CNA) (CIK 0000021175),CNA,EX-10.2,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/21175/000095012309028874/c52427exv10w2.htm,2009-08-03,2009-21175-0000950123-09-028874-c52427exv10w2.htm
0001193125-09-041694,1276520,GENWORTH FINANCIAL INC (GNW) (CIK 0001276520),GNW,EXHIBIT 10.13.1,10-K,EX-10.13.1,https://www.sec.gov/Archives/edgar/data/1276520/000119312509041694/dex10131.htm,2009-03-02,2009-1276520-0001193125-09-041694-dex10131.htm
0000950123-09-028874,21175,CNA FINANCIAL CORP (CNA) (CIK 0000021175),CNA,EX-10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/21175/000095012309028874/c52427exv10w1.htm,2009-08-03,2009-21175-0000950123-09-028874-c52427exv10w1.htm
0000950123-09-066318,1294632,IASIS Healthcare LLC (CIK 0001294632),,EXHIBIT 10.15,10-K,EX-10.15,https://www.sec.gov/Archives/edgar/data/1294632/000095012309066318/c92860exv10w15.htm,2009-11-25,2009-1294632-0000950123-09-066318-c92860exv10w15.htm
0001045829-09-000026,1045829,VANGUARD HEALTH SYSTEMS INC (CIK 0001045829),,,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1045829/000104582909000026/exhibit10_1.htm,2009-11-10,2009-1045829-0001045829-09-000026-exhibit10_1.htm
0001045829-09-000026,1045829,VANGUARD HEALTH SYSTEMS INC (CIK 0001045829),,,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/1045829/000104582909000026/exhibit10_3.htm,2009-11-10,2009-1045829-0001045829-09-000026-exhibit10_3.htm
0000950123-09-059329,24090,CITIZENS INC (CIA) (CIK 0000024090),CIA,EXHIBIT 10.9,10-Q,EX-10.9,https://www.sec.gov/Archives/edgar/data/24090/000095012309059329/c92169exv10w9.htm,2009-11-06,2009-24090-0000950123-09-059329-c92169exv10w9.htm
0000950123-09-059329,24090,CITIZENS INC (CIA) (CIK 0000024090),CIA,EXHIBIT 10.8,10-Q,EX-10.8,https://www.sec.gov/Archives/edgar/data/24090/000095012309059329/c92169exv10w8.htm,2009-11-06,2009-24090-0000950123-09-059329-c92169exv10w8.htm
0001193125-09-036287,5513,"Unum Group (UNM, UNMA) (CIK 0000005513)",UNM,CREDIT AGREEMENT,10-K,EX-10.37,https://www.sec.gov/Archives/edgar/data/5513/000119312509036287/dex1037.htm,2009-02-24,2009-5513-0001193125-09-036287-dex1037.htm
0001193125-09-031191,1117414,PBSJ CORP /FL/ (CIK 0001117414),,GENERAL AGREEMENT OF INDEMNITY FOR CONTRACTORS,10-Q,EX-10.15,https://www.sec.gov/Archives/edgar/data/1117414/000119312509031191/dex1015.htm,2009-02-17,2009-1117414-0001193125-09-031191-dex1015.htm
0001347815-09-000013,1347815,Flagstone Reinsurance Holdings Ltd (CIK 0001347815),,,10-K,EX-10.27,https://www.sec.gov/Archives/edgar/data/1347815/000134781509000013/hems_employ.htm,2009-03-13,2009-1347815-0001347815-09-000013-hems_employ.htm
0000783603-09-000035,783603,AMERICAN SAFETY INSURANCE HOLDINGS LTD (CIK 0000783603),,10.8 PROFESSIONAL AND ADMINISTRATIVE SERVICES AGREEMENT BETWEEN ASAS AND ASIC D,10-K,EX-10,https://www.sec.gov/Archives/edgar/data/783603/000078360309000035/asicmasagmt.htm,2009-03-16,2009-783603-0000783603-09-000035-asicmasagmt.htm
0000783603-09-000035,783603,AMERICAN SAFETY INSURANCE HOLDINGS LTD (CIK 0000783603),,10.6 PROFESSIONAL AND ADMINISTRATIVE SERVICES AGREEMENT BETWEEN ASAS AND ASRRG,10-K,EX-10,https://www.sec.gov/Archives/edgar/data/783603/000078360309000035/asrrgmasagmt.htm,2009-03-16,2009-783603-0000783603-09-000035-asrrgmasagmt.htm
0000783603-09-000035,783603,AMERICAN SAFETY INSURANCE HOLDINGS LTD (CIK 0000783603),,10.7 PROFESSIONAL AND ADMINISTRATIVE SERVICES AGREEMENT BETWEEN ASAS AND ASCIC,10-K,EX-10,https://www.sec.gov/Archives/edgar/data/783603/000078360309000035/ascicmasagmt.htm,2009-03-16,2009-783603-0000783603-09-000035-ascicmasagmt.htm
0001193125-09-041694,1276520,GENWORTH FINANCIAL INC (GNW) (CIK 0001276520),GNW,EXHIBIT 10.6.1,10-K,EX-10.6.1,https://www.sec.gov/Archives/edgar/data/1276520/000119312509041694/dex1061.htm,2009-03-02,2009-1276520-0001193125-09-041694-dex1061.htm
0001193125-09-041694,1276520,GENWORTH FINANCIAL INC (GNW) (CIK 0001276520),GNW,EXHIBIT 10.7.1,10-K,EX-10.7.1,https://www.sec.gov/Archives/edgar/data/1276520/000119312509041694/dex1071.htm,2009-03-02,2009-1276520-0001193125-09-041694-dex1071.htm
0001193125-09-041694,1276520,GENWORTH FINANCIAL INC (GNW) (CIK 0001276520),GNW,EXHIBIT 10.10.1,10-K,EX-10.10.1,https://www.sec.gov/Archives/edgar/data/1276520/000119312509041694/dex10101.htm,2009-03-02,2009-1276520-0001193125-09-041694-dex10101.htm
0001193125-09-041694,1276520,GENWORTH FINANCIAL INC (GNW) (CIK 0001276520),GNW,EXHIBIT 10.8.1,10-K,EX-10.8.1,https://www.sec.gov/Archives/edgar/data/1276520/000119312509041694/dex1081.htm,2009-03-02,2009-1276520-0001193125-09-041694-dex1081.htm
0001193125-09-041694,1276520,GENWORTH FINANCIAL INC (GNW) (CIK 0001276520),GNW,EXHIBIT 10.9.1,10-K,EX-10.9.1,https://www.sec.gov/Archives/edgar/data/1276520/000119312509041694/dex1091.htm,2009-03-02,2009-1276520-0001193125-09-041694-dex1091.htm
0001347815-09-000013,1347815,Flagstone Reinsurance Holdings Ltd (CIK 0001347815),,,10-K,EX-10.25,https://www.sec.gov/Archives/edgar/data/1347815/000134781509000013/flitman_contract.htm,2009-03-13,2009-1347815-0001347815-09-000013-flitman_contract.htm
0000950123-09-031919,1297568,"Specialty Underwriters Alliance, Inc. (CIK 0001297568)",,EX-10.5,10-Q,EX-10.5,https://www.sec.gov/Archives/edgar/data/1297568/000095012309031919/c52879exv10w5.htm,2009-08-07,2009-1297568-0000950123-09-031919-c52879exv10w5.htm
0001347815-09-000013,1347815,Flagstone Reinsurance Holdings Ltd (CIK 0001347815),,,10-K,EX-10.26,https://www.sec.gov/Archives/edgar/data/1347815/000134781509000013/slade_contract.htm,2009-03-13,2009-1347815-0001347815-09-000013-slade_contract.htm
0001347815-09-000013,1347815,Flagstone Reinsurance Holdings Ltd (CIK 0001347815),,,10-K,EX-10.20,https://www.sec.gov/Archives/edgar/data/1347815/000134781509000013/prestia_contract.htm,2009-03-13,2009-1347815-0001347815-09-000013-prestia_contract.htm
0001193125-09-234165,1065201,AMERINST INSURANCE GROUP LTD (CIK 0001065201),,"AGENCY AGREEMENT EFFECTIVE SEPTEMBER 25, 2009",10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1065201/000119312509234165/dex101.htm,2009-11-13,2009-1065201-0001193125-09-234165-dex101.htm
0001347815-09-000013,1347815,Flagstone Reinsurance Holdings Ltd (CIK 0001347815),,,10-K,EX-10.33,https://www.sec.gov/Archives/edgar/data/1347815/000134781509000013/fawcett_aug08.htm,2009-03-13,2009-1347815-0001347815-09-000013-fawcett_aug08.htm
0000950123-09-066318,1294632,IASIS Healthcare LLC (CIK 0001294632),,EXHIBIT 10.12,10-K,EX-10.12,https://www.sec.gov/Archives/edgar/data/1294632/000095012309066318/c92860exv10w12.htm,2009-11-25,2009-1294632-0000950123-09-066318-c92860exv10w12.htm
0001045829-09-000014,1045829,VANGUARD HEALTH SYSTEMS INC (CIK 0001045829),,,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1045829/000104582909000014/exhibit10_1.htm,2009-05-12,2009-1045829-0001045829-09-000014-exhibit10_1.htm
0001347815-09-000013,1347815,Flagstone Reinsurance Holdings Ltd (CIK 0001347815),,,10-K,EX-10.29,https://www.sec.gov/Archives/edgar/data/1347815/000134781509000013/hems_feb09.htm,2009-03-13,2009-1347815-0001347815-09-000013-hems_feb09.htm
0000950123-09-066318,1294632,IASIS Healthcare LLC (CIK 0001294632),,EXHIBIT 10.16,10-K,EX-10.16,https://www.sec.gov/Archives/edgar/data/1294632/000095012309066318/c92860exv10w16.htm,2009-11-25,2009-1294632-0000950123-09-066318-c92860exv10w16.htm
0001045829-09-000026,1045829,VANGUARD HEALTH SYSTEMS INC (CIK 0001045829),,,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1045829/000104582909000026/exhibit10_2.htm,2009-11-10,2009-1045829-0001045829-09-000026-exhibit10_2.htm
0001193125-09-174461,1401521,UNITED INSURANCE HOLDINGS CORP. (ACIC) (CIK 0001401521),ACIC,FORM OF FLORIDA HURRICANE CATASTROPHE FUND,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/1401521/000119312509174461/dex102.htm,2009-08-13,2009-1401521-0001193125-09-174461-dex102.htm
0001193125-09-168881,896159,ACE LTD (CB) (CIK 0000896159),CB,LETTER OF CREDIT AGREEMENT,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/896159/000119312509168881/dex101.htm,2009-08-07,2009-896159-0001193125-09-168881-dex101.htm
0001104659-09-048649,1273813,ASSURED GUARANTY LTD (AGO) (CIK 0001273813),AGO,EX-10.23,10-Q,EX-10.23,https://www.sec.gov/Archives/edgar/data/1273813/000110465909048649/a09-18852_1ex10d23.htm,2009-08-10,2009-1273813-0001104659-09-048649-a09-18852_1ex10d23.htm
0001104659-09-018007,1035185,GEVITY HR INC (CIK 0001035185),,EX-10.43,10-K,EX-10.43,https://www.sec.gov/Archives/edgar/data/1035185/000110465909018007/a09-1778_1ex10d43.htm,2009-03-16,2009-1035185-0001104659-09-018007-a09-1778_1ex10d43.htm
0000950123-09-030395,1059341,INTERSTATE HOTELS & RESORTS INC (CIK 0001059341),,EXHIBIT 10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1059341/000095012309030395/w75034exv10w1.htm,2009-08-05,2009-1059341-0000950123-09-030395-w75034exv10w1.htm
0001047469-09-009363,709878,UNIVERSAL AMERICAN CORP. (CIK 0000709878),,EXHIBIT 10.3,10-Q,EX-10.3,https://www.sec.gov/Archives/edgar/data/709878/000104746909009363/a2195114zex-10_3.htm,2009-10-30,2009-709878-0001047469-09-009363-a2195114zex-10_3.htm
0001047469-09-009363,709878,UNIVERSAL AMERICAN CORP. (CIK 0000709878),,EXHIBIT 10.2,10-Q,EX-10.2,https://www.sec.gov/Archives/edgar/data/709878/000104746909009363/a2195114zex-10_2.htm,2009-10-30,2009-709878-0001047469-09-009363-a2195114zex-10_2.htm
0001047469-09-009363,709878,UNIVERSAL AMERICAN CORP. (CIK 0000709878),,EXHIBIT 10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/709878/000104746909009363/a2195114zex-10_1.htm,2009-10-30,2009-709878-0001047469-09-009363-a2195114zex-10_1.htm
0001347815-09-000013,1347815,Flagstone Reinsurance Holdings Ltd (CIK 0001347815),,,10-K,EX-10.23,https://www.sec.gov/Archives/edgar/data/1347815/000134781509000013/boisvert_emply.htm,2009-03-13,2009-1347815-0001347815-09-000013-boisvert_emply.htm
0001385613-09-000049,1385613,"GREENLIGHT CAPITAL RE, LTD. (GLRE) (CIK 0001385613)",GLRE,EXHIBIT 10.1,10-Q,EX-10.1,https://www.sec.gov/Archives/edgar/data/1385613/000138561309000049/locagreement.htm,2009-11-02,2009-1385613-0001385613-09-000049-locagreement.htm
0001047469-09-009363,709878,UNIVERSAL AMERICAN CORP. (CIK 0000709878),,EXHIBIT 10.7,10-Q,EX-10.7,https://www.sec.gov/Archives/edgar/data/709878/000104746909009363/a2195114zex-10_7.htm,2009-10-30,2009-709878-0001047469-09-009363-a2195114zex-10_7.htm
0001047469-09-009363,709878,UNIVERSAL AMERICAN CORP. (CIK 0000709878),,EXHIBIT 10.6,10-Q,EX-10.6,https://www.sec.gov/Archives/edgar/data/709878/000104746909009363/a2195114zex-10_6.htm,2009-10-30,2009-709878-0001047469-09-009363-a2195114zex-10_6.htm
0001047469-09-009363,709878,UNIVERSAL AMERICAN CORP. (CIK 0000709878),,EXHIBIT 10.5,10-Q,EX-10.5,https://www.sec.gov/Archives/edgar/data/709878/000104746909009363/a2195114zex-10_5.htm,2009-10-30,2009-709878-0001047469-09-009363-a2195114zex-10_5.htm
0000950123-09-004675,1289592,"Tower Group, Inc. (CIK 0001289592)",,EX-10.34: COMBINED AMENDMENT NO. 1 TO AMENDED AND RESTATED BROKERAGE BUSINESS QUOTA,10-K,EX-10.34,https://www.sec.gov/Archives/edgar/data/1289592/000095012309004675/y75074exv10w34.htm,2009-03-16,2009-1289592-0000950123-09-004675-y75074exv10w34.htm
0001104659-09-048587,1039828,"AMERICAN EQUITY INVESTMENT LIFE HOLDING CO (ANG-PA, ANG-PB) (CIK 0001039828)",ANG.PB,EX-10.28,10-Q,EX-10.28,https://www.sec.gov/Archives/edgar/data/1039828/000110465909048587/a09-18143_1ex10d28.htm,2009-08-10,2009-1039828-0001104659-09-048587-a09-18143_1ex10d28.htm
0001362310-09-002804,1105055,DYNEGY HOLDINGS INC (CIK 0001105055),,EXHIBIT 10.79,10-K,EX-10.79,https://www.sec.gov/Archives/edgar/data/1105055/000136231009002804/c81453exv10w79.htm,2009-02-26,2009-1105055-0001362310-09-002804-c81453exv10w79.htm
0001347815-09-000013,1347815,Flagstone Reinsurance Holdings Ltd (CIK 0001347815),,,10-K,EX-10.34,https://www.sec.gov/Archives/edgar/data/1347815/000134781509000013/mandava_aug08.htm,2009-03-13,2009-1347815-0001347815-09-000013-mandava_aug08.htm
0000950123-09-004675,1289592,"Tower Group, Inc. (CIK 0001289592)",,EX-10.74: AMENDMENT NO. 2 TO AMENDED AND RESTATED BROKERAGE BUSINESS QUOTA,10-K,EX-10.74,https://www.sec.gov/Archives/edgar/data/1289592/000095012309004675/y75074exv10w74.htm,2009-03-16,2009-1289592-0000950123-09-004675-y75074exv10w74.htm
